compound.name,id.zhulab,id.pubchem,Concentration
3-Methoxy-4-Hydroxyphenylglycol Sulfate,L0228,3035420,50 ppb
1-Methylxanthine,L0216,80220,250 ppb
N-Acetyl-L-phenylalanine,L0086,74839,100 ppb
5-Hydroxyhexanoic acid,S0266,170748,1 ppm
5-Hydroxymethylcytidine,L0264,14367004,10 ppm
Sebacic acid,S0193,5192,500 ppb
Suberic acid,S0214,10457,1 ppm
N-Acetyl-L-aspartic acid,S0246,65065,100 ppb
N-carbamoyl-L-aspartate,L0084,93072,1 ppm
UDP-D-glucuronate,L0081,17473,10 ppm
4-Pyridoxic acid,L0127,6723,20 ppb
3'-O-methyladenosine,L0251,82530,20 ppb
Creatinine,S0042,588,20 ppb
Nicotinate,S0008,938,100 ppb
Guanosine,S0071,135398635,1 ppm
N-Acetylcadaverine,S0249,189087,40 ppb
Beta-Alanine,L0320,239,1 ppm
dAMP,L0140,12599,500 ppb
gamma-L-Glutamyl-L-glutamic acid,L0352,92865,10 ppm
"N6,N6,N6-Trimethyl-L-lysine",L0190,440120,10 ppm
